tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,dịch giả,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa
Combo Thai Giáo (Bộ 5 Cuốn) - Tái Bản 2017,https://www.vinabook.com/images/thumbnails/product/240x/283005_p78653mcombothaigiao.jpg,Sản khoa,  Thông tin tác giả    Nhiều tác giả     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trọn bộ 5 cuốn: 1. 101 Hướng Dẫn Thực Tế & Hữu ích Mang Thai Sinh Nở2. Cẩm Nang Lần đầu Sinh Con3. Cẩm Nang Mang Thai Toàn Tập4. Chăm Sóc Sức Khỏe Thai Phụ5. Chăm Sóc Thai NhiMời bạn đón đọc. ,352.0, 19 x 26 cm , 2017 , Nhiều dịch giả , Trí Việt , NXB Phụ Nữ ,620.0, Nhiều tác giả , Bìa cứng 
Để Có Một Thai Kỳ Tốt Nhất (Tái Bản 2018),https://www.vinabook.com/images/thumbnails/product/240x/266532_p76508mimg602.jpg,Sản khoa," Thời kỳ mang thai là một trong những giai đoạn quan trọng nhất của người phụ nữ. Trong cuộc sống hiện tại, cùng với sự nâng cao mức sống, mang thai - sinh nở luôn khiến phụ nữ quan tâm đặc biệt.Đây cũng là thời kỳ hình thành nên đứa trẻ, bởi vậy những tác động dù là nhỏ nhất của cơ thể mẹ cũng ảnh hưởng tới thai nhi. Để thai nhi phát triển khỏe mạnh, cơ thể mẹ cần được cung cấp không chỉ dưỡng chất mà mẹ còn phải chuẩn bị kỹ về tâm lý. Thai phụ có khỏe mạnh, vui vẻ thì thai nhi mới có thể phát triển một cách tốt nhất.Cuốn sách này có thể coi là cuốn cẩm nang dành cho các bà mẹ đang trong giai đoạn thai kỳ và những phụ nữ có ý định có con trong tương lai gần. Để có một thai kỳ tốt nhất gồm những bài viết thiết thực, nhiều kiến thức và thôn tin hữu ích do tiến sĩ - bác sĩ Lê Thị Thu Hà (Phó trưởng khoa sản A - Bệnh viện Từ Dũ) biên soạn.Mời bạn đón đọc. ",40.0, 16 x 24 cm , 03/2018 ,, NXB Phụ Nữ , NXB Phụ Nữ ,132.0,, Bìa mềm 
Tủ Sách Bảo Vệ Sức Khỏe Gia Đình - Bảo Vệ Sức Khỏe Sinh Sản,https://www.vinabook.com/images/thumbnails/product/240x/251790_p74441m15baoveskssu2487d20160930t153032847329.jpg,Sản khoa,"  Thông tin tác giả    Lâm Trung Xương 
                                                                                                                                            Lâm Trung Xương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tủ sách bảo vệ sức khỏe gia đình được biên soạn từ nhiều nguồn tư liệu có giá trị, trình bày hầu hết những kiến thức cơ bản cần thiết trong thực hành y khoa. Ngoài những hiểu biết cơ bản, nội dung sách cũng đi sâu hơn vào các lĩnh vực chẩn đoán, điều trị cũng như các biện pháp phòng bệnh. Vì thế, tuy không nhắm đến đối tượng độc giả là những người có chuyên môn trong ngành y tế, nhưng sách vẫn có thể cung cấp những thông tin tham khảo cần thiết trong nhiều trường hợp. Đặc biệt, đối với những độc giả phổ thông thì những kiến thức cung cấp trong sách là vô cùng bổ ích trong việc bảo vệ sức khỏe cho bản thân và gia đình.Mời bạn đón đọc. ",53.0, 13.5 x 20.5 cm , 09/2016 ,, Thăng Long , NXB Hồng Đức ,212.0, Lâm Trung Xương , Bìa mềm 
280 Ngày Chuẩn Bị Làm Mẹ (Tái Bản 2016),https://www.vinabook.com/images/thumbnails/product/240x/216637_p69167mbt.jpg,Sản khoa,"  Thông tin tác giả    Lê Hải Yến     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     280 ngày chuẩn bị làm Mẹ sẽ cung cấp cho bạn những kiến thức bổ ích để chuẩn bị sẳn sàng cho một sinh linh bé bỏng sẽ ra đời. Bạn sẽ dành tất cả những gì tốt đẹp nhất cho bé. Và những kiến thức này sẽ bổ ích cho bạn trong giai đoạn muốn làm cha, mẹ. Cuốn sách tóm tắc và hướng dẫn những kiến thức cần biết qua từng ngày đến 280 ngày…Mục lục:Ngày thứ 1: Mang thai là gì?Ngày thứ 2: Cách tính ngày mang thaiNgày thứ 3: Tuổi sinh đẻ lý tưởngNgày thứ 4: Mùa sinh đẻ lý tưởngNgày thứ 5: Khái quát hệ thống sinh dục nữNgày thứ 6: Khái quát hệ thống sinh dục namNgày thứ 7: Tuần mang thai thứ nhấtNgày thứ 8: Sinh hoạt vợ chồngNgày thứ 9: Thời cơ thụ thai lý tưởngNgày thứ 10: Bí quyết sinh con trai, con gáiNgày thứ 11: Cách tính ngày trứng rụngNgày thứ 12: Cách làm tăng cơ hội thụ thaiNgày thứ 13: Vô sinhNgày thứ 14: Tuần mang thai thứ 2Ngày thứ 15: Chuẩn bị tâm lý trước khi mang thaiNgày thứ 16: Kiểm tra sức khoẻ trước khi kết hônNgày thứ 17: Việc chuẩn bị về ăn uống trước khi mang thaiNgày thứ 18: Kiểm tra sức khoẻ toàn diện trước khi thụ thaiNgày thứ 19: Thụ thaiNgày thứ 20: Khái niệm về ưu sinhNgày thứ 21: Tuần mang thai thứ 3Ngày thứ 22: Thời điểm tiến hành ưu sinhNgày thứ 23: Những điểm cơ bản cần lưu ý trong vấn đề ưu sinh (1)Ngày thứ 24: Những điểm vơ bản cần lưu ý trong vấn đề ưu sinh (2)Ngày thứ 25: Những điều cơ bản cần chú ý về vấn đề ưu sinh đối với nam nữ trong độ tuổi sinh đẻ:Ngày thứ 26: Sinh sản với di truyềnNgày thứ 27: Có thể dự phòng và chữa bệnh di truyền không?Ngày thứ 28: Tuần mang thai thứ 4Ngày thứ 29: Thụ tinh nhân tạo và sinh con bằng ống nghiệmNgày thứ 30: 6 yếu tố bồi dưỡng đào tạo nhân tàiNgày thứ 31: Người mang thai cần tiêm phòng như thế nào?Ngày thứ 32: Những loại thuốc gây anh hưởng xấu đến thai nhi…Ngày thứ 267: Cách giảm các vết sắc tố (vết rám) sau khi sinhNgày thứ 268: Chứng buồn sau khi sinhNgày thứ 269: Cách phòng và chữa chứng trầm uất sau khi sinhNgày thứ 270: Các phương thuốc Trung y chữa các bệnh sau sinh (1)Ngày thứ 271-272: Các phương thuốc Trung y chữa các bệnh sau sinh (2)Ngày thứ 273-274: Tuần lễ mang thai thứ 39Ngày thứ 275: Thế nào là xét nghiệm sàng lọc trẻ sơ sinh?Ngày thứ 276: Chứng vàng da ở trẻ sơ sinhNgày thứ 277: Khi bé bị bệnhNgày thứ 278: Các vấn đề khi em bé khócNgày thứ 279: Cách phòng ngừa và chăm sóc da ở trẻ sơ sinhNgày thứ 280: Mang thai tuần thứ 40Mời bạn đón đọc. ",66.0, 13 x 20.5 cm , 03/2016 ,, Huy Hoàng , NXB Phụ Nữ ,352.0, Lê Hải Yến , Bìa mềm 
Tri Thức Thai Sản Bà Bầu Cần Biết - 1001 Bí Quyết Để Mẹ Tròn Con Vuông,https://www.vinabook.com/images/thumbnails/product/240x/207742_p67913mbt.jpg,Sản khoa,"  Thông tin tác giả    Vương Nguy (Chủ biên)     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách giải đáp những vấn đề mà bà bầu gặp phải trong thai kì đầu, thai kì giữa, thai kì cuối một cách chuyên nghiệp; đồng thời nêu ra những mục cần chú ý trong thời kì mang thai, mang tới cho bà bầu những chỉ dẫn tận tình nhất.Mang thai là một hành trình đặc biệt và ý nghĩa trong cuộc đời mỗi người phụ nữ. Xin chúc cho tất cả các bà bầu luôn bình an để chào đón thiên thần nhỏ đáng yêu, khỏe mạnh!Nội dung sáchChương 1: Xác nhận ""tin vui"", chào đón thiên thần nhỏChương 2: Thai kì đầu hạnh phúcChương 3: Ba tháng giữa thai kì, an tâm và ""cuốn hút""Chương 4: Thai kì cuối căng thẳng nhưng tràn đầy hi vọngChương 5: Làm đẹp khi mang thaiChương 6: Chăm sóc sau sinhMời bạn đón đọc. ",120.0, 17 x 23 cm , 14/03/2016 , Thu Trần , Minh Long , NXB Phụ Nữ ,388.0, Vương Nguy (Chủ biên) , Bìa mềm 
Âm Nhạc Thai Giáo - Càng Nghe Càng Thông Minh (Tặng Kèm VCD),https://www.vinabook.com/images/thumbnails/product/240x/167627_p60796mdau001.jpg,Sản khoa,"  Thông tin tác giả    Lý Lợi     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Thai giáo theo nghĩa rộng chính là thông qua chế độ dinh dưỡng, môi trường và tinh thần để thúc đẩy sự phát triển toàn diện của trẻ. Theo nghĩa hẹp thai giáo là căn cứ vào thời điểm cụ thể để áp dụng các biện pháp như: nghe nhạc, chiếu sáng, tắm nắng, nói chuyện",62.0, 17 x 23 cm , 10/12/2014 , Ngọc Hân , Minh Long , NXB Phụ Nữ ,192.0, Lý Lợi , Bìa mềm 
Mang Thai Không Hề Dễ Chịu,https://www.vinabook.com/images/thumbnails/product/240x/165594_p60605mmangthaikhonghe.jpg,Sản khoa,"  Thông tin tác giả    Joanne Kimes     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Sau nhiều tháng buồn nôn và đau nhức, tôi đã được Joanne Kimes trao cho một tràng cười rụng rốn và cuốn sách của chị giúp tôi bớt cô đơn.” (- Jaimee)“Tôi đã ngốn hết số sách mang thai sinh nở tìm được. Đến giờ, cuốn này vẫn là nhất: chân thực nhất, hài hước nhất, hữu ích nhất!” (- Maggie M, London, Anh)Mời bạn đón đọc. ",70.0, 15.5 x 24 cm , 15/12/2014 ,, NXB Phụ Nữ , NXB Phụ Nữ ,256.0, Joanne Kimes , Bìa mềm 
Mang Thai Không Hề Dễ Chịu Cả Với Đàn Ông,https://www.vinabook.com/images/thumbnails/product/240x/165595_p60606mmangthaikhonghedanong.jpg,Sản khoa,"  Thông tin tác giả    Jeff Kimes     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Joanne Kimes     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Tôi đã mua cuốn sách này tặng con gái và con rể. Nhưng tôi giữ lại đọc trước, và hậu quả là: cười chảy nước mắt! Con rể tôi không phải mọt sách mà cũng phát cuồng vì nó!” (- Yuba City, California, Mỹ)“Tôi đã mua cuốn này cho chồng và một cuốn cùng bộ cho chính mình. Tối hôm đó, hai chúng tôi cùng đọc và cười lăn lộn. Chồng tôi hứng thú với cuốn sách bởi anh ấy đang bấn lên với lần đầu… làm bố. Cuốn sách hài hước này giúp chồng tôi tự tin hơn, anh ấy đã hiểu mình không phải người duy nhất phát sốt phát rét trong giai đoạn vợ bầu."" (- Laura Steenhagen, Mỹ)Mời bạn đón đọc. ",62.0, 15.5 x 24 cm , 15/12/2014 ,, NXB Phụ Nữ , NXB Phụ Nữ ,228.0," Jeff Kimes , Joanne Kimes ", Bìa mềm 
Bước Đầu Hướng Dẫn Luyện Khí Công,https://www.vinabook.com/images/thumbnails/product/240x/333531_p87012mscan0001.jpg,Y học Cổ truyền,"  Thông tin tác giả    Đỗ Đức Ngọc     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khí công y đạo là một phương pháp chỉ dẫn con đường tu tập, rèn luyện theo nhà sách online một trình tự từ dễ đến khó để sao cho thân mạng được khỏe mạnh, thân tâm được an tịnh, phát triển được ý chí sáng suốt, minh mẫn, hướng thượng, vị tha, bác ái, tập được tánh thiện lành ưa làm điều thiện giúp ích cho người khác.Khí công ở đây không phải là môn võ thuật, dùng động công để đánh vỡ gạch, tan ngói, thủng tường, mà chỉ là tập hít thở ở thế  “tịnh” gần giống như Thiền tịnh nhưng không hoàn toàn giống thiền tịnh, vì nó có các phương pháp thở nhất định cho từng giai đoạn theo một trình tự từ thấp đến cao.Hai điểm nêu bật trên giúp bạn đọc nhanh chóng đi đến quyết định đúng đắn, rõ ràng khi thực hành sách Bước đầu hướng dẫn luyện khí công.Mời bạn đón đọc. ",95.0, 13.5 x 21 cm , 12/2018 ,, Văn Lang , Nxb Thanh Hóa ,264.0, Đỗ Đức Ngọc , Bìa mềm 
Bí Quyết Bấm Huyệt Chữa Bệnh (Bìa Cứng) (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/359194_p91391mscan0001.jpg,Y học Cổ truyền,"  Thông tin tác giả    Katsusuke Serizawa 
                                                                                                                                            Katsusuke Serizawa
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Với sơ đồ thể hiện vị trí chính thức của 200 huyệt đạo trên cơ thể, cuốn sách như một công trình khoa học chuyên sâu, hữu ích và giá trị – một bí huyết thực hành bấm huyệt rất thực tế và sinh động, giúp các chuyên gia châm cứu, bấm huyệt hiểu sâu hơn và nâng cao tay nghề hơn qua kỹ thuật bấm huyệt chữa bệnh hiệu quả được đúc kết và lưu truyền lâu đời. Với người đọc thông thường, sách còn cung cấp cho chúng ta những kiến thức cơ bản và các kỹ thuật xoa bấm đơn giản nhưng hiệu quả, giúp cơ thể nhanh chóng phục hồi và khỏe mạnh.Tác giả quyển sách là một trong những danh y người Nhật, Giáo sư Katsusuke Serizawa - Giám đốc Trung tâm Liệu pháp Đông y Bảo vệ Sức khoẻ - Đại học Zhubo Tokyo. Thêm một thông tin khá thú vị: sách đã được Công ty Văn hoá Đồ thư Đài Bắc chuyển ra Hoa ngữ phục vụ cho cộng đồng người Hoa, một dân tộc vốn đã rất ""sành"" về huyệt vị và cách day bấm huyệt. Mong rằng cuốn sách này sẽ mang đến cho các bạn nhiều điều thú vị và cuôn có trạng thái tinh thần sảng khoái, cơ thể sung mãn.Mời bạn đón đọc. ",158.0, 20.5 x 28.5 cm , 28/07/2020 , Phạm Kim Thạch , Trí Việt , Nxb Tổng hợp TP.HCM ,232.0, Katsusuke Serizawa , Bìa cứng 
100 Cách Xoa Bóp Ấn Huyệt Trị Bách Bệnh,https://www.vinabook.com/images/thumbnails/product/240x/338579_p87654m100.jpg,Y học Cổ truyền,"  Thông tin tác giả    Đại Tấn 
                                                                                                                                            Đại Tấn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     100 Cách Xoa Bóp Ấn Huyệt Trị Bách Bệnh là quyển sách hướng dẫn các phương pháp chữa bệnh cổ truyền, được tổng kết rút ra từ dân gian trong quá trình thực tiễn chữa trị qua nhiều thế hệ. Đây là một phương pháp chữa bệnh đơn giản dễ học, an toàn không gây tác dụng phụ mà hiệu quả lại rất tốt.Ngoài ấn huyệt thì xoa bóp cũng rất quan trọng trong việc chữa trị bệnh, hai phương pháp bổ trợ nhau sẽ tạo nên hiệu cao, giúp sức khỏe dần hồi phục và ổn định hơn.Quyển sách ra đời để bảo lưu và phát huy tác dụng của di sản quý báu này, đồng thời đáp ứng nhu cầu của đông đảo bạn đọc muốn tìm hiểu và vận dụng trong chữa trị một số bệnh thông thường, không dùng thuốc.Mời bạn đón đọc. ",31.0, 13 x 19 cm , 07/2007 ,, Nhà sách Hoa Sen , Nxb Phương Đông ,224.0, Đại Tấn , Bìa mềm 
